country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Pakistan,0,,,,,,,,,,0,,,,,0,,,0,,0
Panama,0,,,,,,,,,,0,,,,,0,,,0,,0
Paraguay,0,,,,,,,,,,0,,,,,0,,,0,,0
Peru,0,,,,,,,,,,0,,,,,0,,,0,,0
Philippines,0,,,,,,,,,,0,,,,,0,,,0,,0
Poland,428,,,,,,,,,,519,,,,,593,,,620,,273
Portugal,2.6,,,,,,,,,,24.6,,,,,25.4,,,25.9,,35
Qatar,0,,,,,,,,,,0,,,,,0,,,0,,0
Romania,2010,,,,,,,,,,675,,,,,321,,,372,,215
Russia,15900,,,,,,,,,,24900,,,,,26600,,,28100,,20600
Saudi Arabia,0,,,,,,,,,,0,,,,,0,,,0,,0
Senegal,0,,,,,,,,,,0,,,,,0,,,0,,0
Serbia,762,,,,,,,,,,306,,,,,129,,,132,,134
Singapore,124,,,,,,,,,,421,,,,,766,,,1000,,703
Slovak Republic,68.3,,,,,,,,,,76.3,,,,,71.6,,,83.5,,54
Slovenia,767,,,,,,,,,,177,,,,,110,,,88.4,,60
South Africa,437,,,,,,,,,,459,,,,,500,,,479,,477
South Korea,783,,,,,,,,,,2160,,,,,2450,,,2730,,1850
Spain,3790,,,,,,,,,,2280,,,,,2010,,,1850,,1230
Sri Lanka,0,,,,,,,,,,0,,,,,0,,,0,,0
Sudan,0,,,,,,,,,,0,,,,,0,,,0,,0
Sweden,715,,,,,,,,,,723,,,,,722,,,675,,439
Switzerland,316,,,,,,,,,,97.9,,,,,62.5,,,69.4,,74
Syria,0,,,,,,,,,,0,,,,,0,,,0,,0
Tajikistan,2810,,,,,,,,,,796,,,,,371,,,331,,340
Tanzania,0,,,,,,,,,,0,,,,,0,,,0,,0
Thailand,0,,,,,,,,,,0,,,,,0,,,0,,0
Togo,0,,,,,,,,,,0,,,,,0,,,0,,0
Trinidad and Tobago,0,,,,,,,,,,0,,,,,0,,,0,,0
Tunisia,0,,,,,,,,,,0,,,,,0,,,0,,0
Turkey,546,,,,,,,,,,555,,,,,546,,,591,,549
Turkmenistan,0,,,,,,,,,,0,,,,,0,,,0,,0
Ukraine,224,,,,,,,,,,244,,,,,181,,,177,,116
United Arab Emirates,387,,,,,,,,,,218,,,,,268,,,338,,384
United Kingdom,1550,,,,,,,,,,890,,,,,591,,,472,,455
United States,20800,,,,,,,,,,14700,,,,,9010,,,8260,,6360
Uruguay,0,,,,,,,,,,0,,,,,0,,,0,,0
Uzbekistan,0,,,,,,,,,,0,,,,,0,,,0,,0
Venezuela,1950,,,,,,,,,,465,,,,,286,,,284,,156
Vietnam,0,,,,,,,,,,0,,,,,0,,,0,,0
Yemen,0,,,,,,,,,,0,,,,,0,,,0,,0
Zambia,0,,,,,,,,,,0,,,,,0,,,0,,0
Zimbabwe,0,,,,,,,,,,0,,,,,0,,,0,,0
